1	6e7dbd	41.3	cbd0ea	13.2
2	7485c4	40.8	cacfe8	13.7
3	3955a5	65.5	ffffff	0
4	1c459e	82.3	fdfdfd	0
5	546ab3	53.1	cfd4e8	10.8
6	2d4ca0	72.5	fdfdfc	0.4
7	9aa1d4	27.4	9aa4d3	27
8	828fc8	35	bec4e4	16.7
9	fdffff	0.8	828fc8	35
10	b3bce2	20.4	344fa3	67.7
11	bac2e2	17.7	1b479f	83
12	d4d9eb	9.8	354fa4	67.7
13	e5e7f2	5.4	3651a5	67.1
14	e8ebf3	4.5	4f6ab3	56.4
15	e9edf5	4.9	7483c0	40.4
